id,tipo,CEP,lat,lon,demanda_kg,volumes,valor_rs
0,depot,25251560,-23.0596,-44.07075,0.0,0.0,0.0
1,cliente,25520000,-23.2,-44.066159999999996,4.569,1.0,383.54
2,cliente,26562160,-23.0056,-44.04848,0.908,2.0,233.18
3,cliente,21911310,-23.0821,-44.12753,47.932,12.0,2130.48
4,cliente,21210623,-23.14393,-44.13943,9.301,4.0,734.36
5,cliente,25931378,-23.075979999999998,-44.05919,4.01,5.0,336.62
6,cliente,20260142,-23.18722,-44.15558,1.0,1.0,1529.1
7,cliente,25520001,-23.19991,-44.066159999999996,3.0,3.0,215.28
8,cliente,25585210,-22.7311,-44.06514,14.527999999999999,5.0,1547.22
9,cliente,21061240,-23.0884,-44.14198,52.952,20.0,3920.6
10,cliente,21020290,-23.1739,-44.14266,3.36,1.0,512.28
11,cliente,25931758,-23.04178,-44.05919,22.98,6.0,954.72
12,cliente,25555341,-22.71931,-44.06565,54.629999999999995,15.0,3183.99
13,cliente,23530611,-23.14501,-44.09999,59.766000000000005,12.0,3042.0
14,cliente,22720000,-23.2,-44.11376,3.476,1.0,261.23
15,cliente,23065620,-22.6942,-44.10798,40.26,21.0,3156.24
16,cliente,23894418,-22.80238,-44.09387,77.851,19.0,4727.65
17,cliente,25580020,-23.1982,-44.06514,78.03,23.0,5534.43
18,cliente,25272190,-23.0029,-44.07041,60.265,27.0,5172.05
19,cliente,21530160,-23.1856,-44.13399,6.907,2.0,645.16
20,cliente,26031481,-23.06671,-44.05749,5.0,6.0,1512.99
21,cliente,23515050,-22.7455,-44.10033,129.25,10.0,3595.5
22,cliente,23550265,-23.17615,-44.09965,66.0,4.0,443.33000000000004
23,cliente,21073160,-22.9156,-44.14181,3.0,3.0,196.57
24,cliente,23095842,-22.67422,-44.10747,4.09,1.0,232.88
25,cliente,21830008,-23.199279999999998,-44.12889,1.416,1.0,211.23
26,cliente,21250410,-23.1631,-44.13875,40.15,6.0,763.77
27,cliente,26280376,-23.166159999999998,-44.05324,153.56,28.0,2620.38
28,cliente,23060780,-23.1298,-44.10798,0.39,2.0,574.78
29,cliente,26041760,-23.0416,-44.05732,11.482,5.0,966.3100000000001
30,cliente,21750120,-23.1892,-44.13025,32.02,9.0,1902.72
31,cliente,20211270,-23.0857,-44.15643,40.233,10.0,2278.6800000000003
32,cliente,25233170,-22.9147,-44.07109,42.083,6.0,2201.69
33,cliente,21011400,-23.073999999999998,-44.14283,3.268,1.0,761.24
34,cliente,20540156,-23.185959999999998,-44.150819999999996,1.14,1.0,248.0
35,cliente,26281040,-23.1064,-44.05324,37.094,8.0,1695.8200000000002
36,cliente,20251440,-23.0704,-44.15575,53.0,4.0,283.51
37,cliente,26210000,-23.2,-44.054429999999996,9.17,6.0,887.77
38,cliente,21720040,-23.1964,-44.13076,49.18,9.0,2181.41
39,cliente,21311281,-23.08471,-44.13773,66.58699999999999,21.0,5865.92
40,cliente,21040115,-23.18965,-44.14232,1.416,1.0,211.23
