id,tipo,CEP,lat,lon,demanda_kg,volumes,valor_rs
0,depot,25251560,-23.0596,-44.07075,0.0,0.0,0.0
1,cliente,25520000,-23.2,-44.066159999999996,4.569,1.0,383.54
2,cliente,26562160,-23.0056,-44.04848,0.908,2.0,233.18
3,cliente,21911310,-23.0821,-44.12753,47.932,12.0,2130.48
4,cliente,21210623,-23.14393,-44.13943,9.301,4.0,734.36
5,cliente,25931378,-23.075979999999998,-44.05919,4.01,5.0,336.62
6,cliente,20260142,-23.18722,-44.15558,1.0,1.0,1529.1
7,cliente,25520001,-23.19991,-44.066159999999996,3.0,3.0,215.28
8,cliente,25585210,-22.7311,-44.06514,14.527999999999999,5.0,1547.22
9,cliente,21061240,-23.0884,-44.14198,52.952,20.0,3920.6
10,cliente,21020290,-23.1739,-44.14266,3.36,1.0,512.28
